Fecha;Tm (ºC);TMA (ºC);tma (ºC);Hr (%);Hrmax (%);Hrmin (%);RS (MJ/m²);V (m/s);VMA (m/s);HS (horas);P (mm);ETo (mm)
2015-01-01;11,7;15,8;8,2;86,2;96,5;68,1;4,83;1,9;7,3;5,3;0;1
2015-01-02;8,8;12,8;3,7;76,7;92,4;55,3;6,26;4,8;10,5;6,5;0;1,7
2015-01-03;8,6;12,7;1,8;82,9;94,7;66,7;4,23;5,6;12,9;5,5;0;1,4
2015-01-04;13,8;18,3;9;73,5;93,2;53,8;8,17;9,5;17,5;6,9;0,8;2,9
2015-01-05;6,6;9,6;2,7;85,9;95,4;63,8;6,57;5,6;12,5;5;3,9;1,3
2015-01-06;4,5;8,3;0,3;84,8;95,4;74,1;6,54;5,9;13;7,9;0,2;1
2015-01-07;10,8;13,9;8,6;84;88,9;73,8;5,18;6,3;12,6;4,8;0;1,5
2015-01-08;11,1;14,7;7,6;78,4;94,4;58,2;7,59;4,4;10,7;6,5;0;1,7
2015-01-09;10,5;13,9;7,1;80,4;94,5;55,8;6,83;4,6;11,5;6,2;1,4;1,7
2015-01-10;10,5;13,9;7,8;75,5;84,3;60,6;7,19;6,2;12,2;6,9;0;2
2015-01-11;9,1;11,7;4,6;81,2;94,6;75,5;3,27;6,2;13;4,9;2,5;1,1
2015-01-12;4,2;9,5;-0,5;85,6;98,2;63,5;9,9;2,7;8,5;7,7;0;1
2015-01-13;2,8;10,9;-2,7;88;100;55,2;8,14;0,8;3;7,3;0,2;0,7
2015-01-14;5,3;12,6;-2,2;86,6;99,4;55,5;6,46;1,9;8,4;6,9;1,4;1,1
2015-01-15;6,1;9,8;0,3;84,2;100;54,9;5,58;3,2;9,4;5,9;2,2;1,2
2015-01-16;1,6;7,4;-1,8;75,8;92,4;44,8;10,81;3,8;7,9;8;0;1,4
2015-01-17;1;8,6;-5,6;76,9;93,6;48,3;9,75;1,8;4,2;7,9;0;1
2015-01-18;5,8;11,7;-0,5;77,2;92;58,3;7,06;4,7;13,3;7,1;0;1,6
2015-01-19;3,9;9;-0,7;92;100;72,7;6,15;1,9;5,2;6,6;0,2;0,8
2015-01-20;4,3;9,6;-0,9;91,3;100;73;7,06;1,8;5,4;6,6;0,2;0,8
2015-01-21;6,9;10,5;4;88,7;97,8;74,9;8,9;2,7;6,6;7,7;0;0,9
2015-01-22;9;13,1;4,8;91,9;99,9;79,2;4,78;1,6;5,2;5,8;0,2;0,8
2015-01-23;8,2;17;2,5;91;100;60,8;8,26;1,5;4,9;7,3;0,2;1,2
