ID;Fertilizer;Price (euro/t)
NaN;Sodium nitrate;100000
CaN;Calcium nitrate;100000
MgN;Magnesium nitrate;280
AumS;Ammonium sulphate;215
U;Urea;305
AumN;Ammonium nitrate;275
CaAumN;Calcium ammonium nitrate;301
NSAum;Ammonium nitrosulphate;247
N32;Nitrogen solutions (32%);325
Uf;Urea formaldehyde (UF);100000
Ibdu;Isobutylidene diurea (IBDU);100000
Cdu;Crotonylidene diurea (CDU);100000
sPsi;Superphosphate simple;273
sPco;Superphosphate concentrate;202
TSP;Triple superphosphate (TSP);320
Pac;Phosphoric acid;641
sPac;Superphosphoric acid;100000
DCaP;Dycalcium phosphate;100000
CameP;Calcium metaphosphate;100000
caP;Calcined phosphate;100000
bs;Basic slags;100000
gPr;Ground phosphate rock;100000
KCl;Potassium chloride;365
PS;Potassium sulphate;516
MAP;Mono-ammonium phosphate (MAP);548
DAP;Di-ammonium phosphate (DAP);411
APP;Ammonium polyphosphates (APP);100000
NP;Nitrophosphates;100000
KP;Potassium phosphates;100000
KN;Potassium nitrate;550
x8-15-15;Complex 8-15-15;281
x12-12-24;Complex 12-12-24;371
x15-15-15;Complex 15-15-15;349
x9-18-27;Complex 9-18-27;357
x8-24-8;Complex 8-24-8;325
x8-24-16;Complex 8-24-16;341
x12-24-8;Complex 12-24-8;315
x12-24-12;Complex 12-24-12;320
x9-12-24;Complex 9-12-24;100000
x10-20-10;Complex 10-20-10;230
x8-16-8;Complex 8-16-8;305
x18-46-0;Complex 18-46-0;385
x10-10-17;Complex 10-10-17;292
x12-36-12;Complex 12-36-12;390
s4-16-10;Suspension 4-16-10;270
s5-10-10;Suspension 5-10-10;100000
s5-20-5;Suspension 5-20-5;100000
s6-12-16;Suspension 6-12-16;100000
s6-16-10;Suspension 6-16-10;100000
s10-20-0;Suspension 10-20-0;100000
P7-15-6;Fosfoplus 7-15-6 + 5%S + 9% PHC;100000
P8-8-10;Fosfoplus 8-8-10 + 5%S + 9% PHC;100000
sP18;Superphosphate 18%;242
sP45;Superphosphate 45%;320
acP;acid phosphoric;641
U46;Urea 46%;345
U46i;Urea 46%+ Inhibidor;100000
U40S;Urea 40%+ Azufre (YARA Sulfamid);280
AumNS26;ammonium nitrophosphate 26%;290
AumNS21;ammonium nitrophosphate 21%;100000
soN32;Solución N-32;240
soN20;Solución N-20;175
soN26;Solución N-26;100000
CaNso;Calcium nitrate solution;920
MgNso;Magnesium nitrate solution;100000
N33;Nitro33;100000
Nplus;Nitroplus;307
Nac;Nitric acid;443
AumN33;Ammonium nitrate 33%;450
AumN27;Ammonium nitrate 27% (NAC);255
AumN20;Ammonium nitrate 20%;100000
MgS;Magnesium sulfate;320
AumS21;Ammonium sulfate 21%;238
cm;Cow manure;100000
dc;Dairy Cow;100000
dh;Dairy Heifer;100000
bc;Beef Cow;100000
bf;Beef Feeder;100000
bes;Beef Stocker;100000
sm;Swine Manure;100000
sf;Swine Finishing;100000
sg;Swine Growing;100000
sn;Swine Nursery;100000
sgs;Swine Gestating sow;100000
ss;Swine Sow and litter;100000
pm;Poultry Manure;100000
pl;Poultry Layer;100000
pb;Poultry Broiler;100000
pt;Poultry Turkey;100000
pd;Poultry Duck;100000
pg;Poultry Goose;100000
oh;Other Horse;100000
os;Other Sheep;100000
og;Other Goat;100000
or;Other Rabbit;100000
d;Digestato;100000
se;Sludge EDAR;100000
ps;Poultry slurry;100000
rs;Rabbit slurry;100000
pigs;Pig slurry;100000
cs;Cattle slurry;100000
