Year,Member State,Region,8 Types of Farming,Economic Size,(SE010) Total labour input (AWU),(SE025) Total Utilised Agricultural Area (ha),(SE080) Total livestock units (LU),(SE131) Total output (€/farm),(SE132) Total output / Total input (ratio),(SE135) Total output crops & crop production (€/farm),(SE136) Total crops output (€/ha),(SE206) Total output livestock & livestock products (€/farm),(SE270) Total Inputs (€),(SE281) Total specific costs (€),(SE284) Specific crop costs (€/ha),(SE285) Seeds and plants (€),(SE295) Fertilisers (€),(SE300) Crop protection (€),(SE305) Other crop specific costs (€),(SE309) Specific livestock costs (€/LU),(SE345) Energy (€),(SE410) Gross Farm Income (€),(SE415) Farm Net Value Added (€),(SE425) Farm Net Value Added (€/AWU),(SE605) Total subsidies - excluding on investments (€)
2019,EU27_2020,(341) Vlaanderen,(1) Fieldcrops,(3) 25 000 - < 50 000 EUR,0.67,33.64,0,62367,1.35,34858,1690.76,0,46235,12245,335.07,4094,2720,3618,841,-,4193,42194,34589,51510.92,10953
2019,EU27_2020,(341) Vlaanderen,(1) Fieldcrops,(4) 50 000 - < 100 000 EUR,1.36,41.46,2.35,96350,1.2,87618,2506.4,486,80389,30894,708.93,12765,5547,9402,1677,640.79,4565,55988,43015,31584.82,14431
2019,EU27_2020,(341) Vlaanderen,(1) Fieldcrops,(5) 100 000 - < 500 000 EUR,1.87,70,17.64,247827,1.29,200732,3109.49,15166,192108,75159,874.66,24258,11573,21240,4159,366.64,9707,147021,116285,62166.24,25584
2019,EU27_2020,(341) Vlaanderen,(1) Fieldcrops,(6) >= 500 000 EUR,5.8,180.82,43.29,990558,1.2,955654,5391.21,30451,822312,362968,1892.5,154121,62729,108090,17258,477.4,38403,502857,415858,71657.89,27679
2019,EU27_2020,(341) Vlaanderen,(2) Horticulture,(3) 25 000 - < 50 000 EUR,1.97,2.36,0,173160,1.3,172315,121676.21,0,132866,66243,28035.24,43329,9784,1596,11534,-,12826,75921,54932,27855.74,308
2019,EU27_2020,(341) Vlaanderen,(2) Horticulture,(4) 50 000 - < 100 000 EUR,2.42,4.89,0,161021,1.78,157635,46750.21,0,90302,56480,10617.18,35137,11841,1763,7552,-,7572,82980,74693,30928.49,774
2019,EU27_2020,(341) Vlaanderen,(2) Horticulture,(5) 100 000 - < 500 000 EUR,4.72,8.93,1.39,573093,1.36,513772,63609.62,184,421045,209314,19174.98,110980,21890,8077,34234,53.6,38036,275106,230330,48801.93,4013
2019,EU27_2020,(341) Vlaanderen,(2) Horticulture,(6) >= 500 000 EUR,11.6,24.39,2.17,1624827,1.15,1334909,61764.01,2383,1411415,580472,15944.38,215694,47810,28361,96967,692.92,207874,684191,527863,45522.6,14938
2019,EU27_2020,(341) Vlaanderen,(4) Other permanent crops,(3) 25 000 - < 50 000 EUR,1.57,0.25,0,85043,2.28,83993,335973.04,0,37347,2001,8002.64,0,432,859,710,-,22076,54971,51696,33009.34,660
2019,EU27_2020,(341) Vlaanderen,(4) Other permanent crops,(5) 100 000 - < 500 000 EUR,5.09,19.65,0,326473,1.45,305355,17570.26,0,225522,44757,2253.57,971,4199,24571,14537,-,15990,233480,189482,37233.13,10066
2019,EU27_2020,(341) Vlaanderen,(4) Other permanent crops,(6) >= 500 000 EUR,17.03,47.82,0,1258418,1.47,1190107,26651.36,0,854705,207537,3664.99,721,15741,80886,77920,-,51847,904551,751254,44121.85,19733
2019,EU27_2020,(341) Vlaanderen,(5) Milk,(5) 100 000 - < 500 000 EUR,1.76,47.62,110.84,244753,1.25,22077,474.95,216620,196074,103143,409.2,6818,7376,4734,560,735.49,11393,109352,81151,46042,17247
2019,EU27_2020,(341) Vlaanderen,(5) Milk,(6) >= 500 000 EUR,2.63,91,275.72,608508,1.21,57729,659.48,542604,503227,272896,527.95,18876,16563,11577,1025,795.4,24075,262114,180486,68722.55,31323
