Electricity mix,Unit,kg eqCO2/MJ,EF kg eqCO2/unit
Electricity EU average mix (≥110 kV),kWh,135.99,37.7757793220555
Electricity EU average mix (10-20 kV),kWh,141.13,39.2031327160494
Electricity EU average mix (0.4 kV),kWh,150.11,41.6969598765432
Electricity EU fossil mix (≥110 kV),kWh,185.91,51.6406664602610
Electricity EU fossil mix (10-20 kV),kWh,192.93,53.5919367283951
Electricity EU fossil mix (0.4 kV),kWh,205.21,57.0019916624228
Austria,kWh,52.14,14.4822111111111
Belgium,kWh,59.41,16.5039611111111
Bulgaria,kWh,191.55,53.2071666666667
Croatia,kWh,112.21,31.1705388888889
Cyprus,kWh,263.15,73.0982111111111
Czech Republic,kWh,196.99,54.7189444444444
Denmark,kWh,115.67,32.1319111111111
Estonia,kWh,321.06,89.1831111111111
Finland,kWh,63.53,17.6478111111111
France,kWh,22.66,6.2938022222222
Germany,kWh,169.90,47.1948000000000
Greece,kWh,242.99,67.4979333333333
Hungary,kWh,120.05,33.3471000000000
Ireland,kWh,164.22,45.6165666666667
Italy,kWh,137.82,38.2846888888889
Latvia,kWh,60.87,16.9096444444444
Lithuania,kWh,127.09,35.3028666666667
Luxemburg,kWh,82.38,22.8827111111111
Malta,kWh,356.17,98.9371222222222
the Netherlands,kWh,146.36,40.6552777777778
Poland,kWh,285.94,79.4266666666667
Portugal,kWh,137.12,38.0888111111111
Romania,kWh,176.35,48.9863000000000
Slovakia,kWh,69.41,19.2806777777778
Slovenia,kWh,122.14,33.9278444444444
Spain,kWh,106.81,29.6698333333333
Sweden,kWh,6.11,1.6959944444444
United Kingdom,kWh,164.80,45.7777111111111
