ALFALFA_GREEN_FLOWERING,0.29,0,0.4,0.027,0.019,0.25,0,0.85
ALFALFA_GREEN_VEGETATIVE,0.29,0,0.4,0.027,0.019,0.25,0,0.85
ALFALFA_HAY_FLOWERING,0.18,0,0.54,0.015,0.012,0.85,0,0.85
ALFALFA_HAY_VEGETATIVE,0.18,0,0.54,0.015,0.012,0.85,0,0.85
ARTICHOKE,0.155061111,0.116638889,0.3956,0.032,0.032,0.17,0,0.85
ASPARAGUS_GREEN,0.155061111,0.116638889,0.3956,0.032,0.032,0.08,0,0.85
ASPARAGUS_WHITE,0.155061111,0.116638889,0.3956,0.032,0.032,0.07,0,0.85
BARLEY_2_ROW,0.98,0.59,0.22,0.007,0.014,0.865,0,0.85
BARLEY_6_ROW,0.98,0.59,0.22,0.007,0.014,0.885,0,0.85
BEAN_DRY,1.13,0.85,0.19,0.008,0.008,0.89,0,0.85
BEAN_GREEN,1.13,0.85,0.19,0.008,0.008,0.3,0,0.85
BEET,0.1,1.06,0.2,0.019,0.014,0.12,0,0.85
BLACK_EYED_PEA,1.13,0.85,0.19,0.008,0.008,0.9,0,0.85
BLUEGRASS_HAY,0.18,0,0.54,0.015,0.012,0.891,0,0.85
BROCCOLI,0.155061111,0.116638889,0.3956,0.032,0.032,0.45,0,0.85
BROMEGRASS_HAY,0.18,0,0.54,0.015,0.012,0.911,0,0.85
BRUSSELS SPROUTS,0.155061111,0.116638889,0.3956,0.032,0.032,0.13,0,0.85
BUCKWHEAT,1.09,0.88,0.22,0.006,0.009,0.9485,0,0.85
CABBAGE,0.155061111,0.116638889,0.3956,0.032,0.032,0.09,0,0.85
CANARYGRASS_REED_HAY,0.18,0,0.54,0.015,0.012,0.89,0,0.85
CARROT,0.155061111,0.116638889,0.3956,0.032,0.032,0.12,0,0.85
CAULIFLOWER,0.155061111,0.116638889,0.3956,0.032,0.032,0.09,0,0.85
CELERY,0.155061111,0.116638889,0.3956,0.032,0.032,0.05,0,0.85
CHICKPEA_DESI,1.13,0.85,0.19,0.008,0.008,0.895,0,0.85
CHICKPEA_KABULI,1.13,0.85,0.19,0.008,0.008,0.895,0,0.85
CHICORY,0.155061111,0.116638889,0.3956,0.032,0.032,0.06,0,0.85
CLOVER_ALSIKE_HAY,0.3,0,0.4,0.027,0.022,0.874,0,0.85
CLOVER_CRIMSON_HAY,0.3,0,0.4,0.027,0.022,0.883,0,0.85
CLOVER_RED_HAY,0.3,0,0.4,0.027,0.022,0.861,0,0.85
CLOVER_WHITE_HAY,0.3,0,0.4,0.027,0.022,0.903,0,0.85
CLOVER_WHITE_LADINO_HAY,0.3,0,0.4,0.027,0.022,0.892,0,0.85
CORN_GRAIN,1.03,0.61,0.22,0.006,0.007,0.86,0,0.85
CUCUMBER,0.155061111,0.116638889,0.3956,0.032,0.032,0.04,0,0.85
EGGPLANT,0.155061111,0.116638889,0.3956,0.032,0.032,0.07,0,0.85
ENDIVE,0.155061111,0.116638889,0.3956,0.032,0.032,0.05,0,0.85
FABA_BEAN_DRY,1.13,0.85,0.19,0.008,0.008,0.9,0,0.85
FABA_BEAN_GREEN,1.13,0.85,0.19,0.008,0.008,0.19,0,0.85
FALLOW,0,0,0,0,0,0,0,0.85
FALLOW_LEGUME_ONE_YEAR,0,0,0,0,0,0,0,0.85
FESCUE_HAY,0.18,0,0.54,0.015,0.012,0.9,0,0.85
FESCUE_MEADOW_HAY,0.18,0,0.54,0.015,0.012,0.884,0,0.85
FESCUE_TALL_HAY,0.18,0,0.54,0.015,0.012,0.916,0,0.85
FLAX,1.09,0.88,0.22,0.006,0.009,0.935,0,0.85
GARLIC,0.155061111,0.116638889,0.3956,0.032,0.032,0.39,0,0.85
GRASS_HAY,0.18,0,0.54,0.015,0.012,0.891,0,0.85
GRASS_SILAGE,0.3,0,0.4,0.027,0.022,0.249,0,0.85
LEEK,0.155061111,0.116638889,0.3956,0.032,0.032,0.17,0,0.85
LENTIL,1.13,0.85,0.19,0.008,0.008,0.89,0,0.85
LETTUCE_ICEBERG,0.155061111,0.116638889,0.3956,0.032,0.032,0.05,0,0.85
LETTUCE_ROMAN,0.155061111,0.116638889,0.3956,0.032,0.032,0.06,0,0.85
MAIZE_SILAGE,1.03,0.61,0.22,0.006,0.007,0.3,0,0.8
MELON,0.155061111,0,0.2,0.0191,0.0191,0.12,0,0.85
MILLET_FINGER,1.43,0.14,0,0.007,0,0.9,0,0.85
MILLET_FOXTAIL_SILAGE,1.43,0.14,0,0.007,0,0.276,0,0.85
MILLET_PEARL,1.43,0.14,0,0.007,0,0.895,0,0.85
MILLET_PROSO,1.43,0.14,0,0.007,0,0.905,0,0.85
MLLET_PEARL_SILAGE,1.43,0.14,0,0.007,0,0.216,0,0.85
MUSCK_MELON,0.155061111,0,0.2,0.0191,0.0191,0.1,0,0.85
OAT,0.91,0.89,0.25,0.007,0.008,0.91,0,0.85
OAT_HAY,0.18,0,0.54,0.015,0.012,0.898,0,0.85
ONION,0.155061111,0,0.2,0.0191,0.0191,0.1,0,0.85
