Ammonium nitrate (N 33.5%),Wood and Cowie. 2004,6854
Ammonium phosphate (N 18%. P 46%),CAPRI,6047
Ammonium sulphate (N 21%. SO3 23%),CAPRI,6047
Calcium ammonium nitrate (N 26.5%),Wood and Cowie. 2004,7165
Nitrogen solution (N 30%),GESTIM,5137
NPK compound (N 15%. P 15%. K 15%),Wood and Cowie. 2004,5287
Urea (N 46%),Wood and Cowie. 2004,2351
Dolomite (CaO 30%. MgO 20%),IPCC 2006,860
Lime (CaO 52%),IPCC 2006,750
Potassium chloride (K 60%),Brentrup and Paillière. 2008,308
Nitrogen fertilisers,Wood and Cowie. 2004,5120.4
Phosphate fertilisers,CAPRI,2261
Potassium fertilisers,CAPRI,326
