,kg CO2/kg N,kg CO2/kg P2O5,kg CO2/kg K2O,kg N2O-N /kg N,kg CO2/kg N,kg CO2/kg P2O5,kg CO2/kg K2O,kg N2O-N /kg N
Fertilizer name,,,,,,,,
Sodium nitrate,4.5100,,,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Calcium nitrate,4.5100,,,0.0100,4.34838709677419,0.00000000000000,0.00000000000000,0.01000000000000
Magnesium nitrate,4.5100,,,0.0100,4.34838709677419,0.00000000000000,0.00000000000000,0.01000000000000
Magnesium sulfate,,,,0.0000,2.72380952380952,0.00000000000000,0.00000000000000,0.01100000000000
Calcium ammonium nitrate,,,,0.0000,3.67037037037037,0.00000000000000,0.00000000000000,0.01000000000000
Nitrophosphates,,,,0.0000,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Nitric acid,4.5100,,,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Urea,4.5400,,,0.0100,3.50968695652174,0.00000000000000,0.00000000000000,0.01100000000000
Urea formaldehyde (UF),4.5400,,,0.0100,3.50968695652174,0.00000000000000,0.00000000000000,0.01100000000000
Isobutylidene diurea (IBDU),4.5400,,,0.0100,3.50968695652174,0.00000000000000,0.00000000000000,0.01100000000000
Crotonylidene diurea (CDU),4.5400,,,0.0100,3.50968695652174,0.00000000000000,0.00000000000000,0.01100000000000
Urea 46%,4.5400,,,0.0100,3.50968695652174,0.00000000000000,0.00000000000000,0.01100000000000
Urea 46%+ Inhibidor,4.5400,,,0.0100,3.50968695652174,0.00000000000000,0.00000000000000,0.01100000000000
Urea 40%+ Azufre (YARA Sulfamid),4.5400,,,0.0100,3.50968695652174,0.00000000000000,0.00000000000000,0.01100000000000
Nitro33,4.5400,,,0.0100,3.50968695652174,0.00000000000000,0.00000000000000,0.01100000000000
Nitroplus,4.5400,,,0.0100,3.50968695652174,0.00000000000000,0.00000000000000,0.01100000000000
Suspension 5-10-10,4.5400,,,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Superphosphate simple,,1.4500,,0.0000,0.00000000000000,0.54197350671141,0.00000000000000,0.00000000000000
Superphosphate concentrate,,1.4500,,0.0000,0.00000000000000,0.54197350671141,0.00000000000000,0.00000000000000
Triple superphosphate (TSP),,1.4500,,0.0000,0.00000000000000,0.54197350671141,0.00000000000000,0.00000000000000
Superphosphate 18%,,1.4500,,0.0000,0.00000000000000,0.54197350671141,0.00000000000000,0.00000000000000
Superphosphate 45%,,1.4500,,0.0000,0.00000000000000,0.54197350671141,0.00000000000000,0.00000000000000
Phosphoric acid,,1.4500,,0.0000,0.00000000000000,0.54197350671141,0.00000000000000,0.00000000000000
acid phosphoric,,1.4500,,0.0000,0.00000000000000,0.54197350671141,0.00000000000000,0.00000000000000
Superphosphoric acid,,1.4500,,0.0000,0.00000000000000,0.54197350671141,0.00000000000000,0.00000000000000
Dycalcium phosphate,,1.4500,,0.0000,0.00000000000000,0.54197350671141,0.00000000000000,0.00000000000000
Calcium metaphosphate,,1.4500,,0.0000,0.00000000000000,0.54197350671141,0.00000000000000,0.00000000000000
Calcined phosphate,,1.4500,,0.0000,0.00000000000000,0.54197350671141,0.00000000000000,0.00000000000000
Basic slags,,1.4500,,0.0000,0.00000000000000,0.54197350671141,0.00000000000000,0.00000000000000
Ground phosphate rock,,1.4500,,0.0000,0.00000000000000,0.09500000000000,0.00000000000000,0.00000000000000
Potassium nitrate,2.7400,,,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Potassium chloride,,,0.7100,0.0000,0.00000000000000,0.00000000000000,0.41333333333333,0.00000000000000
Potassium sulphate,,,0.7100,0.0000,0.00000000000000,0.00000000000000,0.41333333333333,0.00000000000000
Potassium phosphates,,1.4500,,0.0000,0.00000000000000,0.00000000000000,0.41333333333333,0.00000000000000
Complex 8-15-15,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Complex 12-12-24,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Complex 15-15-15,3.9700,1.8300,0.7100,0.0100,5.01333333333333,0.00000000000000,0.00000000000000,0.01000000000000
Complex 9-18-27,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Complex 8-24-8,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Complex 8-24-16,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Complex 12-24-8,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Complex 12-24-12,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Complex 9-12-24,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Complex 10-20-10,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Complex 8-16-8,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Complex 18-46-0,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Complex 10-10-17,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Complex 12-36-12,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Suspension 4-16-10,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Suspension 5-20-5,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Suspension 6-12-16,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Suspension 6-16-10,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Suspension 10-20-0,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Fosfoplus 7-15-6 + 5%S + 9% PHC,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Fosfoplus 8-8-10 + 5%S + 9% PHC,3.9700,1.8300,0.7100,0.0100,3.46865671641791,0.00000000000000,0.00000000000000,0.00700000000000
Mono-ammonium phosphate (MAP),,1.8200,,0.0000,1.02884615384615,0.00000000000000,0.00000000000000,0.01000000000000
Di-ammonium phosphate (DAP),,3.0200,,0.0000,1.54472347826087,0.00000000000000,0.00000000000000,0.01000000000000
Ammonium polyphosphates (APP),1.8200,,,0.0100,1.54472347826087,0.00000000000000,0.00000000000000,0.01000000000000
Ammonium sulphate,4.5100,,,0.0100,2.72380952380952,0.00000000000000,0.00000000000000,0.01100000000000
Ammonium sulfate 21%,4.5100,,,0.0100,2.72380952380952,0.00000000000000,0.00000000000000,0.01100000000000
ammonium nitrophosphate 26%,4.5100,,,0.0100,2.72380952380952,0.00000000000000,0.00000000000000,0.01100000000000
ammonium nitrophosphate 21%,4.5100,,,0.0100,2.72380952380952,0.00000000000000,0.00000000000000,0.01100000000000
