full name,Land use factors
annual crop temperate boreal dry,0.8
temporary grassland temperate boreal dry,0.8
annual crop temperate boreal moist,0.69
temporary grassland temperate boreal moist,0.69
annual crop tropical dry,0.58
temporary grassland tropical dry,0.58
annual crop tropical moist,0.48
temporary grassland tropical moist,0.48
annual crop tropical montane,0.64
temporary grassland tropical montane,0.64
paddy rice tropical montane dry,1.1
paddy rice tropical montane moist,1.1
paddy rice tropical dry,1.1
paddy rice tropical moist,1.1
paddy rice temperate boreal dry,1.1
paddy rice temperate boreal moist,1.1
tree crop tropical montane dry,1
tree crop tropical montane moist,1
tree crop tropical dry,1
tree crop tropical moist,1
tree crop temperate boreal dry,1
tree crop temperate boreal moist,1
vineyard tropical montane dry,1
vineyard tropical montane moist,1
vineyard tropical dry,1
vineyard tropical moist,1
vineyard temperate boreal dry,1
vineyard temperate boreal moist,1
set aside tropical dry,0.93
set aside temperate boreal dry,0.93
set aside tropical moist,0.82
set aside temperate boreal moist,0.82
set aside tropical montane,0.88
