,EF3 (kg N2O-N/kg nitrogen excreted),Methane emissions from storage : MCF values (%) by temperature (annual average),,,,,,,,,,,,,,,,,,
type of system (all),,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Pasture. range. paddock,see table above,0.004700000000,0.004700000000,0.004700000000,0.004700000000,0.004700000000,0.004700000000,0.004700000000,0.004700000000,0.004700000000,0.004700000000,0.004700000000,0.004700000000,0.004700000000,0.004700000000,0.004700000000,0.004700000000,0.004700000000,0.004700000000,0.004700000000
Daily spread,0.000000000000,0.001000000000,0.001000000000,0.001000000000,0.001000000000,0.001000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.010000000000,0.010000000000,0.010000000000
Solid storage,0.010000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.040000000000,0.040000000000,0.040000000000,0.040000000000,0.040000000000,0.040000000000,0.040000000000,0.040000000000,0.040000000000,0.040000000000,0.040000000000,0.050000000000,0.050000000000,0.050000000000
Solid storage covered / compacted,0.010000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.040000000000,0.040000000000,0.040000000000,0.040000000000,0.040000000000,0.040000000000,0.040000000000,0.040000000000,0.040000000000,0.040000000000,0.040000000000,0.050000000000,0.050000000000,0.050000000000
Solid storage bulking agent,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.005000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.015000000000,0.015000000000,0.015000000000
Solid storage additives,0.005000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.020000000000,0.025000000000,0.025000000000,0.025000000000
Dry lot,0.020000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.015000000000,0.020000000000,0.020000000000,0.020000000000
Liquid / Slurry with natural crust cover 1 month,0.005000000000,0.060000000000,0.060000000000,0.060000000000,0.060000000000,0.060000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.352500000000,0.352500000000,0.352500000000
Liquid / Slurry with natural crust cover 3 month,0.005000000000,0.110000000000,0.110000000000,0.110000000000,0.110000000000,0.110000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.595000000000,0.595000000000,0.595000000000
Liquid / Slurry with natural crust cover 4 month,0.005000000000,0.143333333333,0.143333333333,0.143333333333,0.143333333333,0.143333333333,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.622500000000,0.622500000000,0.622500000000
Liquid / Slurry with natural crust cover 6 month,0.005000000000,0.203333333333,0.203333333333,0.203333333333,0.203333333333,0.203333333333,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.705000000000,0.705000000000,0.705000000000
Liquid / Slurry with natural crust cover 12 month,0.005000000000,0.285000000000,0.285000000000,0.285000000000,0.285000000000,0.285000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.765000000000,0.765000000000,0.765000000000
Liquid / slurry without natural crust cover 1 month,0.000000000000,0.060000000000,0.060000000000,0.060000000000,0.060000000000,0.060000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.352500000000,0.352500000000,0.352500000000
Liquid / slurry without natural crust cover 3 month,0.000000000000,0.110000000000,0.110000000000,0.110000000000,0.110000000000,0.110000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.595000000000,0.595000000000,0.595000000000
Liquid / slurry without natural crust cover 4 month,0.000000000000,0.143333333333,0.143333333333,0.143333333333,0.143333333333,0.143333333333,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.622500000000,0.622500000000,0.622500000000
Liquid / slurry without natural crust cover 6 month,0.000000000000,0.203333333333,0.203333333333,0.203333333333,0.203333333333,0.203333333333,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.705000000000,0.705000000000,0.705000000000
Liquid / slurry without natural crust cover 12 month,0.000000000000,0.285000000000,0.285000000000,0.285000000000,0.285000000000,0.285000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.765000000000,0.765000000000,0.765000000000
Uncovered anaerobic lagoon ,0.000000000000,0.565000000000,0.565000000000,0.565000000000,0.565000000000,0.565000000000,0.745000000000,0.745000000000,0.745000000000,0.745000000000,0.745000000000,0.745000000000,0.745000000000,0.745000000000,0.745000000000,0.745000000000,0.745000000000,0.780000000000,0.780000000000,0.780000000000
Pit storage below animal confinements. 1 month,0.002000000000,0.060000000000,0.060000000000,0.060000000000,0.060000000000,0.060000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.140000000000,0.352500000000,0.352500000000,0.352500000000
Pit storage below animal confinements. 3 month,0.002000000000,0.110000000000,0.110000000000,0.110000000000,0.110000000000,0.110000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.260000000000,0.595000000000,0.595000000000,0.595000000000
Pit storage below animal confinements. 4 month,0.002000000000,0.143333333333,0.143333333333,0.143333333333,0.143333333333,0.143333333333,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.305000000000,0.622500000000,0.622500000000,0.622500000000
Pit storage below animal confinements. 6 month,0.002000000000,0.203333333333,0.203333333333,0.203333333333,0.203333333333,0.203333333333,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.390000000000,0.705000000000,0.705000000000,0.705000000000
Pit storage below animal confinements. 12 month,0.002000000000,0.285000000000,0.285000000000,0.285000000000,0.285000000000,0.285000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.595000000000,0.765000000000,0.765000000000,0.765000000000
Anaerobic digester low leakage. high quality gas tight storage,0.000600000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000,0.010000000000
Anaerobic digester low leakage. low quality gas tight storage,0.000600000000,0.014000000000,0.014000000000,0.014000000000,0.014000000000,0.014000000000,0.014000000000,0.014000000000,0.014000000000,0.014000000000,0.014000000000,0.014000000000,0.014000000000,0.014000000000,0.014000000000,0.014000000000,0.014000000000,0.014000000000,0.014000000000,0.014000000000
Anaerobic digester low leakage. open storage,0.000600000000,0.035500000000,0.035500000000,0.035500000000,0.035500000000,0.035500000000,0.043800000000,0.043800000000,0.043800000000,0.043800000000,0.043800000000,0.043800000000,0.043800000000,0.043800000000,0.043800000000,0.043800000000,0.043800000000,0.045900000000,0.045900000000,0.045900000000
