nbcodcultur,Name,symbiotic fixation kg N/ u,N export,P2O5 export,K2O export,unit,observations,coeff energy,DM/U,species,crop categ,export unit of DM,Residues coefficient of A surface (slope),Residues coefficient of B surface (intercept),below-ground part of residues on the total biomass ,N content in above-ground residues (t N/unit),N content in below-ground residues (t N/tDM),Conversion coeff unit harvest/tonne,Crop type,Emission factor of crop seed (kgeqCO2/kg seeds),Land use category (SOC calculation),Soil cover during winter (default value),% of legumes in the crop (default value),Cf (combustion factor),Crop code
,null,,0,0,0,t,solagro,0,1,aaucune,ca, ,,,,,,1,non,0,,no,,,0
,Artichoke,,4,1.3,6.2,t,corpen,,0.2,artichoke,ca,t,,,,,,1,legu,0,annual crop,no,0,0.8,0
,Asparagus (roots. aerial sy.. tunions),,12.9,2.9,12.6,t,Hartman et Al (FAB PACA),1.08,0.1,asparagus,ca,t,0.6138,0,1,0.0169,0.0169,1,legu,0,annual crop,no,0,0.8,0
,Asparagus (tunions),,3,1,3,t,CTIFL,1.08,0.1,asparagus,ca,t,,,,,,1,legu,0,annual crop,no,0,0.8,0
,Aubergine cultivated under greenhouse ,,7.5,1.6,7.1,t,Cornillon 71 (FAB PACA) + données internet cédric,0.7,0.07,aubergine,ca,t,0.0747,0,0.1,0.0415,0.0415,1,legu,0,annual crop,no,0,0.8,0
,Barley (winter. spring. brassiere),,15,8,7,t (RH 15%),corpen,15.93,0.85,barley,ca,t,0.98,0.59,0.22,0.0077,0.014,1,cop,0.408,annual crop,yes,0,0.8,0
,Basil,,5,1.5,3,t,données internet - cédric,1.1,0.1,basil,ca,t,,,,,,1,legu,0,annual crop,no,0,0.8,0
,Buckwheat,,19,9,7,t,Données internet - cédric + NPK blé tendre,14.4,0.9,blackwheat,ca,t,,,,,,1,COP,0,annual crop,no,0,0.8,0
,Bright tobacco,,40,5,30,t (RH 19%),ca31,13,0.81,tobacco,ca,t,,,,,,1,indus,0,annual crop,no,0,0.8,0
,Broad bean,5,5,2.7,4.3,t,Données internet - cédric + FAB PACA,3,0.19,broad bean,ca,t,1.13,0.85,0.19,0.0011475,0.00088,1,legu,0,annual crop,no,1,0.8,0
