Feedstuffs,%DM / fresh product,kg CO2 /tDM,GJ /tDM,N content / DM
Piglets. first stage feed. pellet form,0.88,409,2.08,
Piglets. 2nd stage feed. pellet form,0.88,284,1.624,
Pigs for fattening. pellet form,0.88,263,2.025,
Growing- finishing pig. pellet form,0.88,223,1.87,
Pregnant sow. pellet form,0.88,249,1.34,
Suckling sow. pellet form,0.88,342,1.511,
Piglets. first stage feed. flour form,0.88,399,1.556,
Piglets. 2nd stage feed. flour form,0.88,274,1.1,
Pigs for fattening. flour form,0.88,226,1.501,
Growing- finishing pig. flour form,0.88,213,1.346,
Pregnant sow. flour form,0.88,239,0.817,
Suckling sow. flour form,0.88,332,0.987,
