DAIRY CATTLE,MEAT CATTLE,MILK SHEEP,MEAT SHEEP,GOAT (milk and meat),Other RUMINANTS,PIGS,POULTRIES,Laying HENS
Pasture. range. paddock,Pasture. range. paddock,Pasture. range. paddock,Pasture. range. paddock,Pasture. range. paddock,Pasture. range. paddock,Pasture. range. paddock,Pasture. range. paddock,Pasture. range. paddock
Daily spread,Daily spread,Daily spread,Daily spread,Daily spread,Solid storage,Solid storage,Dry lot,Dry lot
Solid storage,Solid storage,Solid storage,Solid storage,Solid storage,Dry lot,Dry lot,Uncovered anaerobic lagoon ,Uncovered anaerobic lagoon 
Dry lot,Dry lot,Liquid / Slurry with natural crust cover,Liquid / Slurry with natural crust cover,Liquid / Slurry with natural crust cover,Anaerobic digester ,Liquid / Slurry with natural crust cover,Composting In-vessel,Composting In-vessel
Liquid / Slurry with natural crust cover,Liquid / Slurry with natural crust cover,Liquid / slurry without natural crust cover,Liquid / slurry without natural crust cover,Liquid / slurry without natural crust cover,Cattle and swine deep bedding-no mixing. <1 month,Liquid / slurry without natural crust cover,Composting Static Pile,Composting Static Pile
Liquid / slurry without natural crust cover,Liquid / slurry without natural crust cover,Uncovered anaerobic lagoon ,Uncovered anaerobic lagoon ,Uncovered anaerobic lagoon ,Cattle and swine deep bedding-no mixing. >1 month,Uncovered anaerobic lagoon ,Composting intensive windrow,Composting intensive windrow
Uncovered anaerobic lagoon ,Uncovered anaerobic lagoon ,Pit storage below animal confinements. <1 month,Pit storage below animal confinements. <1 month,Pit storage below animal confinements. <1 month,Composting In-vessel,Pit storage below animal confinements. <1 month,Composting passive windrow,Composting passive windrow
Pit storage below animal confinements. <1 month,Pit storage below animal confinements. <1 month,Pit storage below animal confinements. > 1 month,Pit storage below animal confinements. > 1 month,Pit storage below animal confinements. > 1 month,Composting Static Pile,Pit storage below animal confinements. > 1 month,Poultry manure with litter,Poultry manure with litter
Pit storage below animal confinements. > 1 month,Pit storage below animal confinements. > 1 month,Anaerobic digester ,Anaerobic digester ,Anaerobic digester ,Composting intensive windrow,Anaerobic digester ,Poultry without litter,Poultry without litter
Anaerobic digester ,Anaerobic digester ,Cattle and swine deep bedding-no mixing. <1 month,Cattle and swine deep bedding-no mixing. <1 month,Cattle and swine deep bedding-no mixing. <1 month,Composting passive windrow,Cattle and swine deep bedding-no mixing. <1 month,,
Cattle and swine deep bedding-no mixing. <1 month,Cattle and swine deep bedding-no mixing. <1 month,Cattle and swine deep bedding-no mixing. >1 month,Cattle and swine deep bedding-no mixing. >1 month,Cattle and swine deep bedding-no mixing. >1 month,,Cattle and swine deep bedding-no mixing. >1 month,,
Cattle and swine deep bedding-no mixing. >1 month,Cattle and swine deep bedding-no mixing. >1 month,Cattle and swine deep bedding-active mixing. < 1 month,Cattle and swine deep bedding-active mixing. < 1 month,Cattle and swine deep bedding-active mixing. < 1 month,,Cattle and swine deep bedding-active mixing. < 1 month,,
Cattle and swine deep bedding-active mixing. < 1 month,Cattle and swine deep bedding-active mixing. < 1 month,Cattle and swine deep bedding-active mixing. > 1 month,Cattle and swine deep bedding-active mixing. > 1 month,Cattle and swine deep bedding-active mixing. > 1 month,,Cattle and swine deep bedding-active mixing. > 1 month,,
Cattle and swine deep bedding-active mixing. > 1 month,Cattle and swine deep bedding-active mixing. > 1 month,Composting In-vessel,Composting In-vessel,Composting In-vessel,,Composting In-vessel,,
Composting In-vessel,Composting In-vessel,Composting Static Pile,Composting Static Pile,Composting Static Pile,,Composting Static Pile,,
Composting Static Pile,Composting Static Pile,Composting intensive windrow,Composting intensive windrow,Composting intensive windrow,,Composting intensive windrow,,
Composting intensive windrow,Composting intensive windrow,Composting passive windrow,Composting passive windrow,Composting passive windrow,,Composting passive windrow,,
Composting passive windrow,Composting passive windrow,,,,,Aerobic treatment - natural aeration systems,,
,,,,,,Aerobic treatment -  Forced aeration systems,,
