,EF3 (kg N2O-N/kg nitrogen excreted),Methan emissions from storage : MCF values (%) by temperature (annual average),,,,,,,,,,,,,,,,,,,
type of system (all),,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,
Pasture. range. paddock,see table on left,0.01,0.01,0.01,0.01,0.01,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.02,0.02,0.02,
Daily spread,0,0.001,0.001,0.001,0.001,0.001,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.01,0.01,0.01,
Solid storage,0.005,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,
Dry lot,0.02,0.01,0.01,0.01,0.01,0.01,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.02,0.02,0.02,
Liquid / Slurry with natural crust cover,0.005,0.1,0.11,0.13,0.14,0.15,0.17,0.18,0.2,0.22,0.24,0.26,0.29,0.31,0.34,0.37,0.41,0.44,0.48,0.5,
Liquid / slurry without natural crust cover,0,0.17,0.19,0.2,0.22,0.25,0.27,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.55,0.6,0.65,0.71,0.78,0.8,
Uncovered anaerobic lagoon ,0,0.66,0.68,0.7,0.71,0.73,0.74,0.75,0.76,0.77,0.77,0.78,0.78,0.78,0.79,0.79,0.79,0.79,0.8,0.8,
Pit storage below animal confinements. <1 month,0.002,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.3,0.3,0.3,
Pit storage below animal confinements. > 1 month,0.002,0.17,0.19,0.2,0.22,0.25,0.27,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.55,0.6,0.65,0.71,0.78,0.8,
Anaerobic digester ,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
Cattle and swine deep bedding-no mixing. <1 month,0.01,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.3,0.3,0.3,
Cattle and swine deep bedding-no mixing. >1 month,0.01,0.17,0.19,0.2,0.22,0.25,0.27,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.55,0.6,0.65,0.71,0.78,0.8,
Cattle and swine deep bedding-active mixing. < 1 month,0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.3,0.3,0.3,
Cattle and swine deep bedding-active mixing. > 1 month,0.07,0.17,0.19,0.2,0.22,0.25,0.27,0.29,0.32,0.35,0.39,0.42,0.46,0.5,0.55,0.6,0.65,0.71,0.78,0.8,
Composting In-vessel,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,
Composting Static Pile,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,
Composting intensive windrow,0.1,0.005,0.005,0.005,0.005,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.015,0.015,0.015,
Composting passive windrow,0.01,0.005,0.005,0.005,0.005,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.015,0.015,0.015,
Poultry manure with litter,0.001,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,
Poultry without litter,0.001,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,
Aerobic treatment - natural aeration systems,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aerobic treatment -  Forced aeration systems,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Excreted on fields. sun dried dung are burned for fuel,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
