type;solid/liquid;N%;P2O5%;K2O%;C%;legacy for N %;TAN;EFapplication
Dairy cattle solid;S;0.005;0.008015;0.00726;0.06;0.3;0.6;0.68
Dairy cattle liquid;L;0.0048;0.002519;0.00484;0.0432;;0.6;0.55
non-dairy cattle solid;S;0.0053;0.003893;0.006171;0.0636;0.3;0.6;0.68
non-dairy cattle liquid;L;0.005;0.002;0.00453871;0.045;;0.6;0.55
Beef solid;S;0.0051;0.003206;0.004961;0.0612;0.3;0.6;0.68
Swine liquid (finishing pigs, 8-110 kg);L;0.0076;0.007099;0.005566;0.0418;;0.7;0.4
Swine liquid (sows and piglets to 8 kg);L;0.0045;0.00458;0.003872;0.02475;;0.7;0.29
Swine solid;S;0.006;0.01374;0.00484;0.186;0.15;0.7;0.45
Goats solid;S;0.0099;0.005496;0.010769;0.2178;;0.5;0.9
Sheep solid;S;0.0065;0.00916;0.0121;0.143;;0.5;0.9
Horses solid;S;0.0057;0.002519;0.005445;0.1254;;0.6;0.9
Poultry Laying hens solid;S;0.024;0.05725;0.0242;0.168;;0.7;0.45
Poultry Laying hens liquid;L;0.0132;0.010763;0.006413;0.0792;;0.7;0.69
Poultry Broiler solid;S;0.0198;0.015114;0.010527;0.2178;;0.7;0.38
Poultry other solid;S;0.0101;0.010305;0.006776;0.1111;;0.7;0.54
Digestate;L;0.0048;0.0018;0.0048;0.02832;;0.6;0.55
digestate solid fraction;S;0.0059;0.0049;0.0054;0.09263;0.3;0.2;0.68
compost;S;0.018;0.017;0.0154;0.2412;0.3;0;0.08
