;Olsen P (mg/kg);;;;;K/CEC;;;Olsen P (mg/kg)
texture;soil P status;P lower limit >;P upper limit <=;P fert coeffficient;soil K status;K lower limit >;K upper limit <=;P fert coeffficient;Pc_status
Sand;very low;;10;1;very low;;1,5;1;
Loamy sand;very low;;10;1;very low;;1,5;1;
Sandy loam;very low;;10;1;very low;;1,5;1;
Sandy clay loam;very low;;8;1;very low;;1,5;1;
Sandy clay;very low;;5;1;very low;;1,5;1;
Clay loam;very low;;8;1;very low;;1,5;1;
Clay;very low;;5;1;very low;;1,5;1;
Silty clay;very low;;5;1;very low;;1,5;1;
Silty clay loam;very low;;5;1;very low;;1,5;1;
Silt;very low;;5;1;very low;;1,5;1;
Silty loam;very low;;8;1;very low;;1,5;1;
Loam;very low;;8;1;very low;;1,5;1;
Sand;low;10;13;1;low;1,5;3;0,75;
Loamy sand;low;10;13;1;low;1,5;3;0,75;
Sandy loam;low;10;13;1;low;1,5;3;0,75;
Sandy clay loam;low;8;11;1;low;1,5;3;0,75;
Sandy clay;low;5;9;1;low;1,5;3;0,75;
Clay loam;low;8;11;1;low;1,5;3;0,75;
Clay;low;5;9;1;low;1,5;3;0,75;
Silty clay;low;5;9;1;low;1,5;3;0,75;
Silty clay loam;low;5;9;1;low;1,5;3;0,75;
Silt;low;5;9;1;low;1,5;3;0,75;
Silty loam;low;8;11;1;low;1,5;3;0,75;
Loam;low;8;11;1;low;1,5;3;0,75;
Sand;medium;13;18;0,75;medium;3;4;0,5;
Loamy sand;medium;13;18;0,75;medium;3;4;0,5;
Sandy loam;medium;13;18;0,75;medium;3;4;0,5;
Sandy clay loam;medium;11;15;0,75;medium;3;4;0,5;
Sandy clay;medium;9;12;0,75;medium;3;4;0,5;
Clay loam;medium;11;15;0,75;medium;3;4;0,5;
Clay;medium;9;12;0,75;medium;3;4;0,5;
Silty clay;medium;9;12;0,75;medium;3;4;0,5;
Silty clay loam;medium;9;12;0,75;medium;3;4;0,5;
Silt;medium;9;12;0,75;medium;3;4;0,5;
Silty loam;medium;11;15;0,75;medium;3;4;0,5;
Loam;medium;11;15;0,75;medium;3;4;0,5;
Sand;high;18;30;0,5;high;4;6;0;
Loamy sand;high;18;30;0,5;high;4;6;0;
Sandy loam;high;18;30;0,5;high;4;6;0;
Sandy clay loam;high;15;25;0,5;high;4;6;0;
Sandy clay;high;12;20;0,5;high;4;6;0;
Clay loam;high;15;25;0,5;high;4;6;0;
Clay;high;12;20;0,5;high;4;6;0;
Silty clay;high;12;20;0,5;high;4;6;0;
Silty clay loam;high;12;20;0,5;high;4;6;0;15
Silt;high;12;20;0,5;high;4;6;0;
Silty loam;high;15;25;0,5;high;4;6;0;
Loam;high;15;25;0,5;high;4;6;0;
Sand;very high;30;999;0;very high;6;999;0;
Loamy sand;very high;30;999;0;very high;6;999;0;
Sandy loam;very high;30;999;0;very high;6;999;0;
Sandy clay loam;very high;12;999;0;very high;6;999;0;
Sandy clay;very high;10;999;0;very high;6;999;0;
Clay loam;very high;12;999;0;very high;6;999;0;
Clay;very high;10;999;0;very high;6;999;0;
Silty clay;very high;10;999;0;very high;6;999;0;
Silty clay loam;very high;10;999;0;very high;6;999;0;15
Silt;very high;10;999;0;very high;6;999;0;
Silty loam;very high;12;999;0;very high;6;999;0;
Loam;very high;12;999;0;very high;6;999;0;
