Fecha;Tm (ºC);TMA (ºC);tma (ºC);Hr (%);Hrmax (%);Hrmin (%);RS (MJ/m²);V (m/s);VMA (m/s);HS (horas);P (mm);ETo (mm)
01/01/2015;1;10,3;-6,8;77,1;94,4;52,9;10,23;1,2;4,3;7,9;0;0,8
02/01/2015;1,6;13,9;-5,7;72,2;96,9;28,9;10,19;0,9;4,3;7,7;0;1
03/01/2015;2,6;15,2;-5,3;69,9;93,9;26,2;10,44;1,7;5,1;7,8;0;1,6
04/01/2015;4,6;15,8;-2,9;65;90,8;29,2;10,2;1,8;5,7;7,8;0;1,7
05/01/2015;3,7;15,2;-3,5;71,1;93,9;32,3;10,24;0,8;2,9;7,9;0;0,9
06/01/2015;2,7;12;-3,8;73,2;94,3;39;10,19;2;6,7;7,7;0;1,3
07/01/2015;1,3;10,6;-5,7;82,6;96,6;56,8;9,93;0,9;4,5;7,8;0;0,7
08/01/2015;1,2;12,2;-6;83,4;100;46,8;9,77;0,9;3,9;7,3;0;0,8
09/01/2015;2,7;14,5;-6,5;70,5;96,5;29,2;10,6;1;3,6;7,8;0,2;1,1
10/01/2015;3,4;17,2;-5,7;71,3;96,8;24,3;10,84;1,7;5;7,9;0;1,8
11/01/2015;5;15,3;-3,4;72,3;92,5;40;10,41;2,4;7,3;7,7;0;1,8
12/01/2015;5,5;13,3;-1,6;82;100;57;9,39;2,5;7;7,3;0;1,3
13/01/2015;6,8;15,4;-0,7;75;99,9;42,2;10,21;1,2;5,3;7,8;0;1,1
14/01/2015;4,5;14,4;-2,2;75,9;97;46,6;10,18;1,2;4,2;7,8;0;1,1
15/01/2015;6,6;15,9;-3;71,2;95,5;36,9;10,37;2,4;9;7,7;0;1,8
16/01/2015;6,3;9,2;1,3;71,3;89,1;46;7,34;5;11,9;5,6;0,6;1,8
17/01/2015;1,3;7,7;-5;75,2;97,9;44,1;11,08;3,4;8,8;8;0;1,4
18/01/2015;-0,4;3,8;-6,9;89,7;99,7;62,2;4,12;1,1;3,8;6,8;4,1;0,6
19/01/2015;3,2;6,9;-0,5;87,4;100;59,8;3,81;3;7,7;5,3;2,4;1
20/01/2015;1,1;6,4;-2,1;81;96,2;53,5;9,98;3;8,3;7,6;0;1,1
21/01/2015;1,5;6,6;-2,4;88,3;99,1;59,8;7,6;4,5;11,4;6,6;0,2;1,1
22/01/2015;2,2;5,9;-0,5;84,8;95,7;66,9;5,28;5,1;11,4;6,2;0;1
23/01/2015;2,2;8,3;-2,3;72,5;92,1;45,5;12,08;5,3;12,5;8,4;0;1,8
24/01/2015;1,9;10,5;-4;66,8;89,3;29,8;11,03;4,1;10,1;8,5;0;2,2
25/01/2015;5,7;12,9;0,3;54,3;84,6;21,2;12,39;5,6;10,4;8,7;0;3,2
26/01/2015;3,3;12,5;-5,1;60,7;88,1;34,9;12,07;2,3;6,5;8,3;0;1,8
27/01/2015;5,1;12,9;-2,8;69,8;92,8;45,1;12,07;4,2;10,1;8,5;0;2,1
28/01/2015;5;12,9;-0,7;67,8;89,1;38,6;12,86;4,2;10,2;8,6;0;2,3
29/01/2015;6,3;13,5;-2,8;75;96,9;44,8;11,09;5,4;14,9;8,1;0;2,3
30/01/2015;11,9;15,3;9,7;78,5;89,1;62,9;8,73;11;18,3;7,2;0,2;2,5
31/01/2015;7,3;12,1;1,1;75,9;96,5;55,5;12,34;9,7;18,2;8,1;11,2;2,2
01/02/2015;2,3;6,8;-0,2;72,3;84,8;47,7;11,34;6,9;14,1;8,7;0;1,9
02/02/2015;2,5;6,4;-1,9;85,2;94,1;70,7;6,33;4,1;13,7;6,7;0,6;1
