Fecha;N FerMineral;Agua drenada;N Extraido;N Agua;N FerOrganico;N Lixiviado;BBCH;N Mineralizado;N Min suelo diario
18/12/2019;0.0;0.0;0.01299;0.0;0.19346;0.0;10;0.0;15.0
19/12/2019;0.0;0.0;0.01299;0.0;0.19269;0.0;10;0.32376;1.550.268
20/12/2019;0.0;1.899.586;0.01299;0.0;0.19191;0.62553;10;0.0;1.568.082
21/12/2019;0.0;5.6;0.01299;0.0;0.19113;0.17905;10;0.0;1.522.559
22/12/2019;0.0;5.2;0.01299;0.0;0.19036;0.16621;10;0.0;1.522.105
23/12/2019;0.0;0.0;0.01299;0.0;0.18959;0.0;10;0.0;1.522.874
24/12/2019;0.0;0.0;0.01299;0.0;0.18882;0.0;10;0.0;1.540.379
25/12/2019;0.0;0.0;0.01299;0.0;0.18805;0.0;10;0.0;1.557.808
26/12/2019;0.0;0.0;0.01299;0.0;0.18728;0.0;10;0.0;1.575.159
27/12/2019;0.0;0.0;0.01299;0.0;0.18652;0.0;10;0.0;1.592.434
28/12/2019;0.0;0.0;0.01299;0.0;0.18575;0.0;10;0.0;1.609.633
29/12/2019;0.0;0.0;0.01299;0.0;0.18499;0.0;10;0.0;1.626.756
30/12/2019;0.0;0.0;0.01299;0.0;0.18423;0.0;10;0.0;1.643.802
31/12/2019;0.0;0.0;0.01299;0.0;0.18347;0.0;10;0.0;1.660.773
01/01/2020;0.0;0.0;0.01299;0.0;0.18272;0.0;10;0.0;1.677.668
02/01/2020;0.0;0.0;0.01299;0.0;0.18196;0.0;10;0.0;1.694.488
03/01/2020;0.0;0.0;0.01299;0.0;0.18121;0.0;10;0.0;1.711.232
04/01/2020;0.0;0.0;0.01299;0.0;0.18046;0.0;10;0.0;1.727.901
05/01/2020;0.0;0.0;0.01299;0.0;0.17971;0.0;10;0.0;1.744.495
06/01/2020;0.0;0.0;0.01299;0.0;0.17896;0.0;10;0.0;1.761.015
07/01/2020;0.0;0.0;0.01299;0.0;0.17821;0.0;10;0.0;1.777.459
08/01/2020;0.0;0.0;0.01299;0.0;0.17747;0.0;10;0.0;1.793.829
09/01/2020;0.0;0.0;0.01299;0.0;0.17672;0.0;10;0.0;1.810.125
10/01/2020;0.0;0.0;0.01299;0.0;0.17598;0.0;10;0.0;1.826.347
11/01/2020;0.0;0.0;0.01299;0.0;0.17524;0.0;10;0.0;1.842.494
12/01/2020;0.0;0.0;0.01299;0.0;0.1745;0.0;10;0.0;1.858.568
13/01/2020;0.0;0.0;0.01299;0.0;0.17377;0.0;10;0.0;1.874.568
14/01/2020;0.0;0.0;0.01299;0.0;0.17303;0.0;10;0.0;1.890.495
15/01/2020;0.0;0.0;0.01299;0.0;0.1723;0.0;10;0.0;1.906.348
16/01/2020;80.08;0.0;0.35692;0.0;0.17156;0.0;21;0.0;9.893.671
17/01/2020;0.0;0.0;0.35692;0.0;0.17083;0.0;21;0.0;987.292
18/01/2020;0.0;9.71;0.35692;0.0;0.1701;200.894;21;0.0;9.852.097
19/01/2020;0.0;3.6;0.35692;0.0;0.16938;0.72808;21;0.0;9.630.733
20/01/2020;0.0;0.0;0.35692;0.0;0.16865;0.0;21;0.0;9.537.114
21/01/2020;0.0;0.0;0.35692;0.0;0.16793;0.0;21;0.0;9.516.073
22/01/2020;0.0;0.0;0.35692;0.0;0.1672;0.0;21;0.0;949.496
23/01/2020;0.0;0.0;0.35692;0.0;0.16648;0.0;21;0.0;9.473.774
24/01/2020;0.0;0.0;0.35692;0.0;0.16576;0.0;21;0.0;9.452.517
25/01/2020;0.0;0.0;0.35692;0.0;0.16505;0.0;21;0.0;9.431.188
26/01/2020;0.0;2.55;0.35692;0.0;0.16433;0.50389;21;0.0;9.409.787
27/01/2020;0.0;0.0;0.35692;0.0;0.16361;0.0;21;0.0;933.804
28/01/2020;0.0;0.0;0.35692;0.0;0.1629;0.0;21;0.0;9.316.496
29/01/2020;0.0;0.78;0.35692;0.0;0.16219;0.15225;21;0.0;9.294.881
30/01/2020;0.0;0.0;0.35692;0.0;0.16148;0.0;21;0.0;9.258.006
31/01/2020;0.0;0.0;0.35692;0.0;0.16077;0.0;21;0.0;9.236.249
01/02/2020;0.0;0.0;0.35692;0.0;0.16006;0.99576;21;0.0;9.214.421
02/02/2020;0.0;0.0;0.35692;0.0;0.15936;105.486;21;0.0;9.093.183
03/02/2020;0.0;0.0;0.35692;0.0;0.15865;0.38956;21;0.0;8.965.984
04/02/2020;0.0;0.0;0.35692;0.0;0.15795;0.29003;21;0.0;8.905.084
05/02/2020;0.0;0.0;0.35692;0.0;0.15725;0.48512;21;0.0;8.854.044
06/02/2020;0.0;0.0;0.35692;0.0;0.15655;0.87967;21;0.0;8.783.474
07/02/2020;0.0;0.0;0.35692;0.0;0.15585;0.44575;21;0.0;8.673.481
08/02/2020;0.0;0.0;0.35692;0.0;0.15515;104.041;21;0.0;8.606.701
09/02/2020;0.0;0.0;0.35692;0.0;0.15445;0.47933;21;0.0;8.480.542
10/02/2020;0.0;0.0;0.35692;0.0;0.15376;0.46033;21;0.0;8.410.278
11/02/2020;0.0;0.0;0.35692;0.0;0.15307;0.53;21;0.0;8.341.842
12/02/2020;0.0;0.0;0.35692;0.0;0.15237;0.4414;21;0.0;826.639
13/02/2020;0.0;0.0;0.35692;0.0;0.15168;0.51126;21;0.0;8.199.705
14/02/2020;0.0;0.0;0.35692;0.0;0.151;0.31689;21;0.029;8.128.868
15/02/2020;0.0;0.0;0.35692;0.0;0.15031;0.28525;21;0.0;8.074.464
16/02/2020;0.0;0.0;0.35692;0.0;0.14962;0.19299;21;0.0;8.023.148
17/02/2020;0.0;0.0;0.35692;0.0;0.14894;0.31935;21;0.0;7.980.964
18/02/2020;0.0;0.0;0.35692;0.0;0.14825;0.0;21;0.0;7.926.112
19/02/2020;0.0;0.0;0.35692;0.0;0.14757;0.0;21;0.0;7.903.036
20/02/2020;0.0;0.0;0.35692;0.0;0.14689;0.12381;21;0.0;7.879.891
21/02/2020;0.0;0.0;0.35692;0.0;0.14621;103.331;21;0.0;7.844.334
22/02/2020;0.0;0.0;0.35692;0.0;0.14553;0.4329;21;0.0;7.718.029
23/02/2020;0.0;0.0;0.35692;0.0;0.14486;0.10211;21;0.0;7.651.522
24/02/2020;0.0;0.0;148.222;0.0;0.14418;0.40142;30;0.0;7.498.804
25/02/2020;0.0;0.0;148.222;0.0;0.14351;0.36722;30;0.0;7.316.662
26/02/2020;0.0;0.0;148.222;0.0;0.14284;0.17987;30;0.0;7.137.825
27/02/2020;0.0;0.0;148.222;0.0;0.14217;113.236;30;0.0;6.977.299
