Animal,Type Manure management system,Share of dry matter (%)
DAIRY CATTLE,"Pasture, range, paddock",40
DAIRY CATTLE,Solid storage,10
DAIRY CATTLE,Solid storage,10
DAIRY CATTLE,Solid storage,10
DAIRY CATTLE,Solid storage,10
DAIRY CATTLE,Solid storage,10
DAIRY CATTLE,Solid storage,10
MEAT CATTLE,"Pasture, range, paddock",100
SHEEP,"Pasture, range, paddock",100
GOATS,"Pasture, range, paddock",100
HORSES,"Pasture, range, paddock",100
PIGS,"Pasture, range, paddock",100
POULTRY,"Pasture, range, paddock",100
